nama;judul;abstrak;tahun;prodi
Jaka Priyanto;PENGARUH LINGKUNGAN  TERHADAP PERKEMBANGAN SOSIAL ANAK USIA 10-12 TAHUN;"Latar belakang : Anak merupakan usia keemasan dalam masa perkembangan. Pada usia ini perkembangan dan pertumbuhan anak mencapai puncaknya sehingga memerlukan perhatian yang serius dari orang tua. Perkembangan anak ini sangat dipenaruhi oleh beberapa faktor hereditas (keturunan), faktor lingkungan dan faktor waktu. Faktor lingkungan merupakan faktor di luar individu yang merupakan kondisi yang sangat memungkinkan berlangsungnya proses perkembangan. Tujuan penelitian ini adalah mengetahui pengaruh lingkungan terhadap perkembangan sosial anak usia 10-12 tahun di Lokalisasi Gambilangu Kelurahan Mangkang Kulon  Kecamatan Tugu dan Kelurahan Sendangmulyo Kota Semarang.
Metode : Jenis penelitian ini adalah penelitian analitik obsevasional dengan metode cross sectional. Populasi dalam penelitian ini adalah seluruh anak 10 – 12 di lingkungan lokalisasi Gambilangu Kelurahan Mangkang Kulon Kecamatan Tugu Kota Semarang yaitu berjumlah 37 anak, dan anak di RW XV Sendangmulyo dengan jumlah 32 anak.Teknik sampling yang digunakan adalah total sampling. Analisis data yang digunakan dalam penelitian ini adalah korelasi gamma.
Hasil : Terdapat perbedaan yang bermakna antara perkembangan sosial anak yang tinggal di lingkungan Lokalisasi Gambilangu Kelurahan Mangkang Kulon dengan yang tinggal di lingkungan RT 05 RW XV Kelurahan Sendangmulyo  Kota Semarangdengan p value 0,000.
Simpulan : Terdapat pengaruh yang bermakna faktor lingkungan terhadap perkembagan sosial anak.

Kata Kunci : Lingkungan, Perkembangan Sosial Anak
Daftar pustaka : 21 (2000-2010)";2015;fik
ABDUL CHOLIK;"HUBUNGAN ANTARA PENGETAHUAN IBU TENTANG GIZI DAN KEAKTIFAN KE POSYANDU DENGAN STATUS GIZI BALITA DI 
RW III DESA JEBED UTARA PUSKESMAS JEBED PEMALANG";"HUBUNGAN ANTARA PENGETAHUAN IBU TENTANG GIZI DAN KEAKTIFAN KE POSYANDU DENGAN STATUS GIZI BALITA DI DESA JEBED UTARA PUSKESMAS JEBED PEMALANG
53 hal + 6 tabel + xii

Latar belakang : Balita merupakan salah satu golongan penduduk yang rawan terhadap masalah gizi. Balita mengalami pertumbuhan dan perkembangan yang pesat  sehingga membutuhkan suplai makanan dan gizi dalam jumlah yang cukup dan memadai. Faktor yang mempengaruhi terjadinya permasalahan gizi terbagi menjadi penyebab langsung dan tidak langsung seperti pengetahuan ibu dan keaktifan ke posyandu. Tujuan penelitian ini adalah mengetahui hubungan antara pengetahuan ibu tentang gizi dan keaktifan ke posyandu dengan status gizi balita di RW III Desa Jebed Utara Pemalang.
Metode : Jenis penelitian ini adalah penelitian analitik obsevasional dengan metode cross sectional. Populasi dalam penelitian ini adalah seluruh ibu dan anaknya di Desa Jebed Utara Wilayah Puskesmas Jebed Pemalang RW III dengan jumlah 122 balita. Teknik sampling yang digunakan adalah simple random sampling berjumlah 93 responden. Analisis data yang digunakan dalam penelitian ini adalah korelasi gamma.
Hasil : Terdapat hubungan yang bermakna antara pengetahuan ibu dengan status gizi balita di RW III Desa Jebed Utara Jebed Pemalang dengan keeratan hubungan yang kuat sekali. Terdapat hubungan yang bermakna antara keaktifan ke posyandu dengan status gizi balita di RW III Desa Jebed Utara Jebed Pemalang dengan keeratan hubungan yang kuat.
Simpulan : Terdapat hubungan antara pengetahuan ibu dan keaktifan ke posyandu dengan status gizi balita.

Kata Kunci : Pengetahuan, Keaktifan ke posyandu, Status Gizi
Daftar pustaka : 23 (2000-2011)";2015;fik
Adi Putro Prasetyo;FAKTOR-FAKTOR YANG MEMPENGARUHI PERILAKU PERAWAT DALAM PENGGUNAAN ALAT PELINDUNG DIRI DI INSTALASI GAWAT DARURAT;"Faktor-Faktor Yang Mempengaruhi Perilaku Perawat Dalam Penggunaan Alat Pelindung Diri Di Instalasi Gawat Darurat

Alat pelindung diri merupakan perlengkapan pelindung diri yang dipakai oleh petugas harus menutupi bagian-bagian tubuh petugas mulai dari kepala hingga telapak kaki. Perlengkapan ini terdiri dari tutup kepala, masker, sampai dengan alas kaki. Perawat Rumah Sakit Umum Daerah Kota Semarang dan Rumah Sakit Umum Daerah Ungaran belum optimal dalam melakukan penggunaan alat pelindung diri oleh perawat di instalasi gawat darurat. 
Tujuan penelitian ini adalah untuk menganalisis pengaruh faktor usia, pengetahuan, fasilitas, pendidikan, dan  jenis kelamin terhadap penggunaan alat pelindung diri oleh perawat di instalasi gawat darurat. 
Penelitian ini merupakan penelitian observasional, metode penelitian dengan pendekatan belah lintang (cross sectional). Populasi dalam penelitian ini adalah total populasi perawat pelaksana di instalasi gawat darurat Rumah Sakit Umum Daerah Kota Semarang dan Rumah Sakit Umum Daerah Ungaran. Analisis statistik yang digunakan adalah analisis multivariat dengan uji regresi logistik.  
Hasil analisis multivariat menunjukkan adanya pengaruh bersama-sama antara variabel usia (Exp B : 0.705), pengetahuan (Exp B : -0,933), fasilitas (Exp B : 0,431), pendidikan (Exp B : 20.064) dan jenis kelamin (Exp B : -0,234) terhadap terhadap penggunaan alat pelindung diri oleh perawat di instalasi gawat darurat Rumah Sakit Umum Daerah Kota Semarang dan Rumah Sakit Umum Daerah Ungaran. 
Saran yang dapat direkomendasikan dalam penelitian ini adalah mengalokasikan dana untuk pengembangan kualitas SDM perawat, memasukkan faktor pengetahuan, memperhatikan jenis kelamin dan fasilitas dalam job requirement perawat dan digunakan sebagai acuan rekruitmen, melakukan mutasi dan rotasi perawat yang telah lama bekerja di instalasi gawat darurat.

Kata kunci	:	alat pelindung, usia, pendidikan, jenis kelamin, fasilitas, pengetahuan, Perawat, RSUD.";2015;fik
Ahmad Luthfi Sholahuddin;"FAKTOR PREDIKTOR TERHADAP TINGKAT 
AGRESIFITAS REMAJA SISWA KELAS X 
SMA “F” DEMAK";"FAKTOR PREDIKTOR TERHADAP TINGKAT AGRESIFITAS REMAJA SISWA KELAS X SMA “F”  DEMAK

XII + 59  halaman + 13 tabel + 2 Bagan + 12 lampiran

Latar belakang:Remaja mempunyai resiko tinggi terhadap gangguan tingkahlaku, agresifitas dan terjadinya kekerasan baik sebagai korban maupun sebagai pelaku dan tindak kekerasan. Faktor-faktor yang mempengaruhi perilaku agresif pada remaja meliputi:Kondisi pribadi remaja yaitu kelainan yang dibawa sejak lahir baik fisik maupun psikis.Lingkungan rumah dan keluarga, masyarakat dan sekolah.Hasil wawancara dengan 3 orang siswa yang terlibat perkelahian diketahui bahwa 2 diantara mereka menyatakan bahwa orang tua mereka sibuk dalam bekerja serta dari informasi lanjutan diketahui bahwa mereka sering melihat orang tua mereka berselisih paham.Disamping itu kehidupan santri yang berada dilingkungan pasar menyebabkan remaja sering melihat oknum masyarakat yang sering meminta uang keamanan di lingkungan pasar.Tujuan dari penelitian ini adalah untuk mengetahui faktor-faktor yang mempengaruhi tingkat agresifitas remaja siswa kelas X SMA F Demak.
Metode:Penelitian ini merupakan jenis penelitian kuantitatif observasional analitik dengan pendekatan Cross Sectional Study, dengan rancangan ini peneliti akanmenganalisis faktor-faktor yang mempengaruhi tingkat agresifitas remaja siswa kelas X SMA FDemak. Sampel dalam penelitian ini adalah 63 siswa.Analisis yang digunakan adalah regresi logistik.
Hasil:Sebagian besar responden berada di lingkungan keluarga yang baik dengan jumlah 37 responden (58.7%). Sebagian besar responden berada di lingkungan sekolah yang baik dengan jumlah 44 responden (69.8%)..Sebagian besar responden berada di lingkungan masyarakat yang baik dengan jumlah 45 responden (71.4%).Sebagian besar responden berperilaku agresif dengan jumlah 32 responden (50.8%).
Simpulan:Terdapat hubungan lingkungan keluarga dengan agresifitas siswa denganp-value 0.008. Terdapat hubungan lingkungan sekolah dengan agresifitas siswa denganp-value 0.002.Terdapat hubungan lingkungan masyarakat dengan agresifitas siswa denganp-value 0.004.Variabel yang paling berpengaruh terhadap agresifitas remaja adalah lingkungan sekolahdengan nilai Exp(B)=4.193

Kata Kunci :Agresifitas, lingkungan, keluarga, masyarakat, sekolah
Daftar Pustaka : 28(1991-2012)";2015;fik
AHMAD SYAIFUDIN;"PENGARUH LINGKUNGAN SEKOLAH DAN LINGKUNGAN KELUARGATERHADAP PERILAKU MINUM MINUMAN 
KERAS PADA SISWADI SMK “X”DEMAK";"PENGARUH LINGKUNGAN SEKOLAH DAN LINGKUNGAN KELUARGA TERHADAP PERILAKU MINUM MINUMAN KERAS PADA SISWA DI SMK “X” DEMAK

XII + 60  halaman + 9 tabel + 2 Bagan + 12 lampiran

Latar belakang:Timbulnya agresifitas remaja tidak dapat disalahkan hanya personal remaja saja, melainkan keluarga, lingkungan, masyarakat dan bahkan negara. Studi pendahuluan yang dilakukan di SMA Futuhiyyah Mranggen didapatkan hasil bahwa pada bulan Mei 2014 terjadi perkelahian yang melibatkan siswa SMA Futuhiyyah Mranggen dikarenakan masalah yang tidak jelas. Upaya pencegahan perilaku menyimpang siswa telah dilakukan dengan meningkatkan kegiatan diluar sekolah sebagai penyaluran hobi siswa seperti ekstra musik, basket, pencinta alam, sepak bola dan futsal, akan tetapi kejadian perkelahian antar siswa masih sering terjadi. Tujuan dari penelitian ini adalah untuk mengetahui informasi tentangpengaruh lingkungan sekolah dan lingkungan keluarga terhadap perilaku minum minuman keras di SMK “X” Demak.
Metode:Penelitian ini merupakan jenis penelitian kuantitatif corelasi. Penelitian Studi korelasi pada hakekatnya merupakan penelitian atau penelaahan hubungan antara dua variabel atau lebih pada suatu situasi atau sekelompok subjek.Pendekatan yang digunakan adalah cross sectional yaitu data diperoleh saat ini juga.Sampel dalam penelitian ini adalah 52 siswa.Analisis yang digunakan adalah regresi logistik.
Hasil:Sebagian besar responden berada di lingkungan keluarga yang baik dengan jumlah 30 responden (57.7%). Sebagian besar responden berada di lingkungan sekolah yang baik dengan jumlah 35 responden (67.3%).Sebagian besar responden berperilaku tidak minum-minuman keras dengan jumlah 38 responden (73.1%).
Simpulan:Terdapat pengaruh lingkungan keluarga dengan perilaku minum minuman keras dengan p-value 0.024. Terdapat pengaruh lingkungan sekolah dengan perilaku minum minuman keras denganp-value 0.000.Variabel yang paling berpengaruh terhadap perilaku minum minuman keras remaja adalah lingkungan sekolahdengan nilai Exp(B)=52.391

Kata Kunci :Agresifitas, lingkungan, keluarga, masyarakat, sekolah
Daftar Pustaka : 28 (1991-2012)";2015;fik
DEDI DONA PRASTYA;"EFEKTIVITAS TEKNIK RELAKSASI NAFAS DALAM DAN IMAJINASI TERBIMBING TERHADAP PENURUNAN SKALA NYERI PADA PASIEN POST OPERASI HERNIA INGUINALIS DI BANGSAL 
BEDAH RSUD SUNAN KALIJAGA DEMAK";"EFEKTIVITAS TEKNIK RELAKSASI NAFAS DALAM DAN IMAJINASI TERBIMBING TERHADAP PENURUNAN SKALA NYERI PADA PASIEN POST OPERASI HERNIA INGUINALIS DI BANGSAL BEDAH RSUD SUNAN KALIJAGA DEMAK

Latar Belakang: Hernia inguinalis merupakan suatu penonjolan isi suatu rongga melalui pembukaan yang abnormal atau kelemahan pada otot dinding perut sehinga mengakibatkan nyeri. Untuk mengatasi nyeri dapat diberikan penatalaksanaan psikoterapi, salah satunya adalah dengan teknik relaksasi nafas dalam dan imajinasi terbimbing.
Tujuan: Penelitian ini adalah untuk mengetahui efektifitas teknik relaksasi nafas dalam dan imajinasi terbimbing terhadap penurunan skala  nyeri pada pasien post operasi hernia inguinalis di bangsal bedah di RSUD Sunan Kalijaga Demak.

Metode: Jenis penelitian pre experiment one group (pre test- post test). Jumlah responden 17 orang dengan menggunakan purposive sampling  data yang diperoleh diolah secara statistik dengan menggunakan uji kolmogorov smirnov.
Hasil: Hasil statistic dengan taraf siknifikansi 5% didapatkan nilai asymp sig = 0,003 < 0,05, hal ini berarti bahwa Ho ditolak dan terdapat perbedaan tingkat nyeri sebelum dan sesudah pemberian terapi relaksasi nafas dalam dan imajinasi terbimbing.

Kesimpulan: Terdapat perbedaan pemberian teknik relaksasi nafas dalam dan imajinasi terbimbing untuk menurunkan skala nyeri pada pasien post operasi hernia inguinalis di bangsal bedah di RSUD Sunan Kalijaga Demak.

Kata Kunci: Hernia inguinalis, skala nyeri, teknik relaksasi nafas dalam dan imajinasi terbimbing.";2015;fik
Desy Rihandika Risnawati;"EFEKTIVITAS SENAM KAKI DIABETIK TERHADAP PENURUNAN KADAR GLUKOSA DARAH SEWAKTU (GDS) PADA PASIEN DIABETES MELITUS TIPE II
DI RSI SULTAN AGUNG SEMARANG";"EFEKTIVITAS SENAM KAKI DIABETIK TERHADAP PENURUNAN KADAR GLUKOSA DARAH SEWAKTU PADA PASIEN DIABETES MELITUS TIPE II DI RSI SULTAN AGUNG SEMARANG

51 hal + 10 tabel + 2 gambar + 11 lampiran + xv

Latar Belakang: Kadar glukosa darah pada pasien diabetes melitus tipe II cenderung tinggi akibat kelainan sekresi hormon insulin, kelainan kerja insulin atau keduanya serta karena kurangnya aktivitas. Penelitian ini bertujuan untuk mengetahui nilai GDS sebelum dan sesudah dilakukan latihan fisik resistance exercise pada kelompok perlakuan dan juga untuk mengetahui perbedaan nilai GDS yang dilakukan senam kaki diabetikpada kelompok perlakuandan pada kelompok kontrol. 
Metode: Desain penelitian menggunakan Quasy experimen dengan rancangan pretest-postest with control group dan metode pengambilan sampel dengan purposive sampling. Perbedaan nilai GDS sesudah  dilakukan senam kaki diabetik pada kelompok perlakuan dan kelompok kontrol di uji dengan uji t independent.
Hasil: Hasil uji t independent menunjukkan ada perbedaan nilai GDS setelah dilakukan latihan pada kelompok kontrol dan kelompok perlakuan (p = 0,000)
Simpulan: Institusi pelayanan perlu mengembangkan senam kaki diabetik sebagai bagian dari program terapi pada pasien rawat inap dengan diabetes melitus tipe II serta perawat menjadikannya sebagai bagian integral dalam melaksanakan asuhan keperawatan pada pasien rawat inap dan rawat jalan dengan diabetes melitus tipe II.

Kata kunci	: 	diabetes melitus tipe II, senam kaki diabetik, glukosa darah.
Daftar pustaka	: 	46 ( 2000 – 2014 )";2015;fik
YANITA FATMASARI;"FAKTOR-FAKTOR PREDIKTOR TINGKAT KECEMASAN ORANG TUA AKIBAT HOSPITALISASI ANAK USIA PRA SEKOLAH DI RUANG RAWAT INAP 
RSUD KOTA SEMARANG";"FAKTOR-FAKTOR PREDIKTOR TINGKAT KECEMASAN ORANG TUA AKIBAT HOSPITALISASI ANAK USIA PRA SEKOLAH DI RUANG RAWAT INAP RSUD KOTA SEMARANG

78  halaman + 16 tabel + XIV

Latar belakang:Orang tua dapat mengalami kecemasan, terutama saat mereka merasakan perawatan anaknya di rumah sakit pertama kali dan orang tua yang kurang mendapatkan dukungan emosi dan sosial dari keluarganya, kerabat, bahkan dari petugas kesehatan. Wawancara yang peneliti lakukan pada 6 orang tua anak usia pra sekolah yang di rawat di rumah sakit didapatkan 2 diantaranya tidak merasa cemas. sedangkan 4 dari 6 orang tua anak mengungkapkan cemas dan sedih ketika anaknya harus di rawat di rumah sakit. Tujuan dari penelitian ini adalah untuk mengetahui faktor-faktor prediktor tingkat kecemasan orang tua akibat hospitalisasi anak usia pra sekolah di ruang rawat inap RSUD Kota Semarang.
Metode:Jenis penelitian ini adalah penelitian kuantitatif yang merupakan penelitian observasional dengan pendekatan yang digunakan dalam penelitian ini adalah pendekatan cross sectional. Sampel dalam penelitian ini adalah 70 orang tua pasien. Analisis yang digunakan adalah regresi logistik.
Hasil:Tidakterdapat pengaruh antara status ekonomi dengan kecemasan orang tua anak usia pra sekolah yang mendapat perawatan (p-value 0.561). Tidak terdapat pengaruh antara pengalaman dengan kecemasan orang tua anak usia pra sekolah yang mendapat perawatan (p-value 1.000). Terdapat pengaruh antara pengetahuan dengan kecemasan orang tua anak usia pra sekolah yang mendapat perawatan (p-value 0.000). Terdapat pengaruh antara dukungan keluarga dengan kecemasan orang tua anak usia pra sekolah yang mendapat perawatan (p-value 0.000). Terdapat pengaruh antara caring dengan kecemasan orang tua anak usia pra sekolah yang mendapat perawatan (p-value 0.000). Terdapat pengaruh antara keadaan anak dengan kecemasan orang tua anak usia pra sekolah yang mendapat perawatan (p-value 0.038) 
Simpulan:Terdapat pengaruh faktor-faktor prediktor terhadap tingkat kecemasan orang tua akibat hospitalisasi anak usia pra sekolah di ruang rawat inap RSUD Kota Semarang.


Kata Kunci :	ekonomi, pengalaman, pengetahuan, dukungan, caring, keadaan, cemas
Daftar Pustaka :32";2015;fik
Adnan Angga Febri Arizona;"HUBUNGAN INTENSITAS MENONTON TELEVISI TERHADAP POLA DAN KUALITAS TIDUR REMAJA DI MTS AL-FATTAH KUNDURAN 
KABUPATEN BLORA";"HUBUNGAN INTENSITAS MENONTON TELEVISI TERHADAP POLA DAN KUALITAS TIDUR REMAJA DI MTS AL-FATTAH KUNDURAN KAB. BLORA
Latar Belakang: Intensitas menonton televisi ini merupakan tindakan atau keadaan seseorang yang menikmati tayangan di televisi dalam ukuran waktu tertentu dan menggambarkan seberapa sering serta memusatkan perhatiannya terhadap acara yang ditayangkan di televisi. Intensitas menonton televisi yang tinggi berarti waktu dan frekeunsi menonton televisi dalam batas waktu yang lama. Intensitas menonton TV yang lama hingga melebihi batas waktu normal sampai larut malam dapat menyebabkan perubahan kebiasaan pola tidur
Tujuan penelitian ini untuk mengetahui hubungan antara intensitas menonton televisi dengan pola dan kualitas tidur pada remaja di MTS Al-Fatah Kunduran Blora.
Metode: penelitian ini menggunakan studi cross sectional dengan metode pengambilan sampel total sampling, sehingga diperoleh sampel sebanyak 158 orang. Pengumpulan data menggunakan kuesioner. Teknik analisa menggunakan uji chi square dan keeratan hubungan koefisiensi kontingensi.
Hasil:karakteristik responden yang berusia 13 tahun 17,7%, 14 tahun 42,4% dan 15 tahun 39,9%. Karakteristik responden yang berjenis kelamin laki-laki 38,0% dan perempuan 62,0%. Hasil penelitian juga diperoleh intensitas menonton televisi tinggi 35.4%, sedang 36,1% dan rendah 28,5%. Responden yang pola tidur buruk 22,8%, cukup 51,3%,  dan pola tidur baik 25,1%. Responden yang memiliki kualitas tidur baik 49,4% dan kualitas tidur buruk 50,6 %  . Hasil uji chi square antara intensitas menonton televisi dengan pola tidur diperoleh nilai p value 0,048 dan nilai koefisiensi kontingensi 0,002 sedangkan Hasil uji chi square antara intensitas menonton televisi dengan kualitas tidur diperoleh nilai p value 0,008 dan nilai koefisiensi kontingensi 0,008
Simpulan: Ada hubungan antara intensitas menonton televisi dengan pola dan kualitas tidur pada remaja di MTS Al-Fatah Kunduran Blora.
Kata kunci: intensitas menonton televisi, pola dan kualitas tidur, remaja.
Daftar pustaka: 44 (1989-2012)";2015;fik
Ayi Fachrudin;"PENGARUH SENAM AEROBIK (LOW IMPACT) TERHADAP PENINGKATAN MEMORI JANGKA PENDEK
ANAK USIA SEKOLAH DI SD 01 SUWADUK KABUPATEN PATI";"PENGARUH SENAM AEROBIK (LOW IMPACT) TERHADAP PENINGKATAN MEMORI JANGKA PENDEK ANAK USIA SEKOLAH DI SD 01 SUWADUK KABUPATEN PATI
63 hal + 10 tabel+ xv
Latar Belakang:Salah satu upaya dalam meningkatan memori jangka pendek pada anak usia sekolah adalah dengan memberikan stimulus senam aerobik (low impact) untuk meningkatkan kemampuan daya pikir pada anak, karena melakukan senam aerobik (low impact) dapat memperlancar aliran darah yang menuju ke otak, sehingga nutrisi dan oksigen dalam otak bisa tercukupi. Penelitian ini bertujuan untuk mengetahui pengaruh senam aerobik (low impact) terhadap peningkatan memori jangka pendek anak usia sekolah di SD 01 Suwaduk kabupaten Pati.
Metode: Jenis penelitian ini adalah kuantitatif dengan Quasi Experimental Design menggunakan rancangan Non Equivalent Control Group Pretest-Posttest. Penggumpulan data diambil menggunakan alat ukur Digit Span Forward dan Backward. Jumlah sample35 responden dengan tehnik total sampling yang terdiri dari 2 kelompok yaitu kelompok kontrol dan intervensi.
Hasil: Berdasarkan analisa dari 35 responden didapatkan bahwa ada pengaruh yang sangat signifikan dari pemberian senam aerobik (low impact)hasil p = 0,014 (p<0,05) menggunakan uji Wilcoxon Signed Rank Test. Didapatkan juga hasil perbedaan dari kedua kelompok dengan hasil p = 0,016 (p<0,05) menggunakan uji Mann Whitney U Test, maka ada perbedaan yang sangat signifikan.
Simpulan: Ada pengaruh yang sangat signifikan dari pemberian senam aerobik (low impact)terhadapat peningkatan memori jangka pendek anak usia sekolah di SD 01 Suwaduk Kabupaten Pati,p = 0,014 (p<0,05) dan ada perbedaan yang sangat signifikan dari pemberian senam aerobik (low impact)pada kelompok kontrol dan intervensi p = 0,016 (p<0,05).

Kata kunci: memori jangka pendek, senam aerobik (low impact), perkembangan anak sekolah
Daftar Pustaka: 50 (1954-2012)";2015;fik
